TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FTA,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Atlanta Hawks,0.3413414634146341,26.0609756097561,2016-2017,43,24.865853658536587,0.7260609756097561,44.329268292682926,23.634146341463413,15.78048780487805,8.195121951219512,-0.8536585365853658
Boston Celtics,0.35874390243902443,33.426829268292686,2016-2017,53,23.20731707317073,0.8102317073170731,41.96341463414634,25.23170731707317,13.268292682926829,7.524390243902439,2.6341463414634148
Brooklyn Nets,0.33720731707317075,31.597560975609756,2016-2017,20,24.634146341463413,0.787280487804878,43.90243902439025,21.414634146341463,16.536585365853657,7.2317073170731705,-6.7317073170731705
Charlotte Hornets,0.34804878048780485,28.621951219512194,2016-2017,36,23.817073170731707,0.8164756097560975,43.58536585365854,23.0609756097561,11.487804878048781,6.963414634146342,0.1951219512195122
Chicago Bulls,0.33440243902439026,22.329268292682926,2016-2017,41,22.536585365853657,0.7973536585365854,46.292682926829265,22.573170731707318,13.560975609756097,7.841463414634147,0.4268292682926829
Cleveland Cavaliers,0.3821707317073171,33.890243902439025,2016-2017,51,23.329268292682926,0.7439146341463414,43.74390243902439,22.658536585365855,13.670731707317072,6.573170731707317,3.182926829268293
Dallas Mavericks,0.35536585365853657,30.158536585365855,2016-2017,33,18.48780487804878,0.7972439024390243,38.573170731707314,20.79268292682927,11.853658536585366,7.487804878048781,-2.926829268292683
Denver Nuggets,0.3681219512195122,28.841463414634145,2016-2017,40,24.21951219512195,0.7723414634146342,46.3780487804878,25.329268292682926,14.951219512195122,6.926829268292683,0.5121951219512195
Detroit Pistons,0.32687804878048776,23.353658536585368,2016-2017,37,19.341463414634145,0.7221951219512195,45.68292682926829,21.121951219512194,11.865853658536585,7.0,-1.1219512195121952
Golden State Warriors,0.38595121951219513,31.24390243902439,2016-2017,67,22.5609756097561,0.7842317073170731,44.426829268292686,30.378048780487806,14.768292682926829,9.573170731707316,11.634146341463415
Houston Rockets,0.3561829268292683,40.31707317073171,2016-2017,55,26.548780487804876,0.7647560975609756,44.36585365853659,25.24390243902439,15.121951219512194,8.170731707317072,5.7682926829268295
Indiana Pacers,0.37153658536585366,22.98780487804878,2016-2017,42,22.085365853658537,0.8060487804878049,42.0,22.48780487804878,13.78048780487805,8.158536585365853,-0.21951219512195122
LA Clippers,0.3736829268292683,27.378048780487806,2016-2017,51,25.951219512195124,0.7488780487804878,43.02439024390244,22.536585365853657,12.951219512195122,7.463414634146342,4.2926829268292686
Los Angeles Lakers,0.3425,25.73170731707317,2016-2017,26,22.597560975609756,0.7553780487804879,43.52439024390244,20.926829268292682,15.158536585365853,8.21951219512195,-6.878048780487805
Memphis Grizzlies,0.3509634146341463,26.451219512195124,2016-2017,43,23.390243902439025,0.7794024390243902,42.76829268292683,21.26829268292683,12.914634146341463,7.963414634146342,0.4878048780487805
Miami Heat,0.36090243902439023,26.98780487804878,2016-2017,41,21.5609756097561,0.7077926829268293,43.6219512195122,21.24390243902439,13.439024390243903,7.170731707317073,1.0609756097560976
Milwaukee Bucks,0.3725,23.73170731707317,2016-2017,42,22.426829268292682,0.7678658536585365,40.390243902439025,24.195121951219512,13.963414634146341,8.121951219512194,-0.18292682926829268
Minnesota Timberwolves,0.34623170731707315,21.01219512195122,2016-2017,31,24.21951219512195,0.7978414634146341,42.41463414634146,23.658536585365855,14.024390243902438,7.975609756097561,-1.1097560975609757
New Orleans Pelicans,0.34665853658536583,26.78048780487805,2016-2017,34,22.25609756097561,0.7471219512195122,43.68292682926829,22.79268292682927,12.853658536585366,7.780487804878049,-2.097560975609756
New York Knicks,0.34887804878048784,24.658536585365855,2016-2017,31,21.109756097560975,0.7863780487804879,45.19512195121951,21.78048780487805,13.890243902439025,7.085365853658536,-3.6707317073170733
Oklahoma City Thunder,0.32653658536585367,25.804878048780488,2016-2017,47,25.76829268292683,0.7476951219512196,46.6219512195122,20.98780487804878,15.0,7.902439024390244,0.7560975609756098
Orlando Magic,0.32870731707317075,26.085365853658537,2016-2017,29,21.378048780487806,0.7483780487804877,43.18292682926829,22.195121951219512,13.304878048780488,7.073170731707317,-6.573170731707317
Philadelphia 76ers,0.34002439024390246,29.79268292682927,2016-2017,28,22.024390243902438,0.7655975609756097,42.84146341463415,23.76829268292683,16.658536585365855,8.439024390243903,-5.695121951219512
Phoenix Suns,0.33313414634146343,22.609756097560975,2016-2017,24,26.329268292682926,0.7761707317073171,44.97560975609756,19.5609756097561,15.426829268292684,8.207317073170731,-5.634146341463414
Portland Trail Blazers,0.37509756097560976,27.70731707317073,2016-2017,41,23.658536585365855,0.7793292682926829,43.65853658536585,21.134146341463413,13.731707317073171,7.0,-0.524390243902439
Sacramento Kings,0.3804268292682927,23.902439024390244,2016-2017,32,23.329268292682926,0.7704268292682926,41.0609756097561,22.48780487804878,14.646341463414634,7.646341463414634,-3.8780487804878048
