TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.3717439024390244,34.40243902439025,2021-2022,43
Boston Celtics,0.3524390243902439,37.1219512195122,2021-2022,51
Brooklyn Nets,0.3596463414634146,31.73170731707317,2021-2022,44
Charlotte Hornets,0.3652073170731707,38.170731707317074,2021-2022,43
Chicago Bulls,0.3665,28.829268292682926,2021-2022,46
Cleveland Cavaliers,0.35281707317073174,32.75609756097561,2021-2022,44
Dallas Mavericks,0.3510243902439024,37.353658536585364,2021-2022,52
Denver Nuggets,0.35154878048780486,35.90243902439025,2021-2022,48
Detroit Pistons,0.3271829268292683,34.609756097560975,2021-2022,23
Golden State Warriors,0.36452439024390243,39.40243902439025,2021-2022,53
Houston Rockets,0.34585365853658534,38.65853658536585,2021-2022,20
Indiana Pacers,0.3444878048780488,35.353658536585364,2021-2022,25
LA Clippers,0.37303658536585366,34.170731707317074,2021-2022,42
Los Angeles Lakers,0.3468170731707317,34.46341463414634,2021-2022,33
Memphis Grizzlies,0.35267073170731705,32.670731707317074,2021-2022,56
Miami Heat,0.3785609756097561,35.80487804878049,2021-2022,53
Milwaukee Bucks,0.3656341463414634,38.426829268292686,2021-2022,51
Minnesota Timberwolves,0.3593292682926829,41.292682926829265,2021-2022,46
New Orleans Pelicans,0.33556097560975606,32.0609756097561,2021-2022,36
New York Knicks,0.35668292682926833,36.9390243902439,2021-2022,37
Oklahoma City Thunder,0.3228780487804878,37.390243902439025,2021-2022,24
Orlando Magic,0.3298048780487805,36.853658536585364,2021-2022,22
Philadelphia 76ers,0.36385365853658536,31.804878048780488,2021-2022,51
Phoenix Suns,0.3643780487804878,31.902439024390244,2021-2022,64
Portland Trail Blazers,0.3424390243902439,36.792682926829265,2021-2022,27
Sacramento Kings,0.3462682926829268,33.19512195121951,2021-2022,30
San Antonio Spurs,0.35059756097560973,32.02439024390244,2021-2022,34
Toronto Raptors,0.34903658536585364,34.24390243902439,2021-2022,48
Utah Jazz,0.35986585365853657,40.34146341463415,2021-2022,49
Washington Wizards,0.3429390243902439,30.634146341463413,2021-2022,35
