TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FTA,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Atlanta Hawks,0.38014634146341464,26.24390243902439,2014-2015,60,21.158536585365855,0.7765121951219512,40.5609756097561,25.74390243902439,14.231707317073171,9.073170731707316,5.426829268292683
Boston Celtics,0.3261829268292683,24.646341463414632,2014-2015,40,20.463414634146343,0.7567439024390243,43.84146341463415,24.5,13.817073170731707,8.21951219512195,0.15853658536585366
Brooklyn Nets,0.32719512195121947,19.914634146341463,2014-2015,38,22.158536585365855,0.7481219512195122,42.353658536585364,20.926829268292682,13.817073170731707,7.024390243902439,-2.8780487804878048
Charlotte Hornets,0.31297560975609756,19.097560975609756,2014-2015,33,22.76829268292683,0.7475731707317074,44.0609756097561,20.170731707317074,11.902439024390244,6.085365853658536,-3.1707317073170733
Chicago Bulls,0.3535853658536585,22.25609756097561,2014-2015,50,25.20731707317073,0.781890243902439,45.74390243902439,21.71951219512195,13.963414634146341,6.2682926829268295,3.0
Cleveland Cavaliers,0.3637560975609756,27.475609756097562,2014-2015,53,23.585365853658537,0.7450975609756098,42.96341463414634,22.121951219512194,14.28048780487805,7.353658536585366,4.475609756097561
Dallas Mavericks,0.34903658536585364,25.390243902439025,2014-2015,50,22.475609756097562,0.7563536585365854,42.26829268292683,22.51219512195122,12.951219512195122,8.085365853658537,2.902439024390244
Denver Nuggets,0.32702439024390245,24.78048780487805,2014-2015,30,24.28048780487805,0.7328048780487806,44.69512195121951,21.804878048780488,14.21951219512195,7.817073170731708,-3.548780487804878
Detroit Pistons,0.3396219512195122,24.914634146341463,2014-2015,32,22.414634146341463,0.7031951219512195,44.890243902439025,21.597560975609756,13.402439024390244,7.597560975609756,-1.0
Golden State Warriors,0.39787804878048777,27.036585365853657,2014-2015,67,20.841463414634145,0.7673780487804878,44.71951219512195,27.414634146341463,14.451219512195122,9.292682926829269,10.097560975609756
Houston Rockets,0.34847560975609754,32.68292682926829,2014-2015,56,26.01219512195122,0.7179146341463415,43.68292682926829,22.195121951219512,16.658536585365855,9.475609756097562,3.4390243902439024
Indiana Pacers,0.3521341463414634,21.21951219512195,2014-2015,38,22.158536585365855,0.7579146341463415,44.853658536585364,21.426829268292682,13.987804878048781,6.158536585365853,0.2804878048780488
Los Angeles Clippers,0.37247560975609756,26.853658536585368,2014-2015,56,25.20731707317073,0.7114512195121951,42.6219512195122,24.76829268292683,12.341463414634147,7.804878048780488,6.585365853658536
Los Angeles Lakers,0.340280487804878,18.853658536585368,2014-2015,21,23.597560975609756,0.7386829268292683,43.890243902439025,20.914634146341463,13.24390243902439,7.048780487804878,-6.841463414634147
Memphis Grizzlies,0.33630487804878045,15.195121951219512,2014-2015,55,22.79268292682927,0.7795121951219512,42.5609756097561,21.670731707317074,13.341463414634147,8.536585365853659,3.2439024390243905
Miami Heat,0.33585365853658533,20.23170731707317,2014-2015,37,23.658536585365855,0.7419878048780487,39.1219512195122,19.829268292682926,14.804878048780488,7.829268292682927,-2.597560975609756
Milwaukee Bucks,0.3638292682926829,18.29268292682927,2014-2015,41,21.146341463414632,0.7525609756097561,42.073170731707314,23.5609756097561,16.74390243902439,9.621951219512194,0.4268292682926829
Minnesota Timberwolves,0.32521951219512196,14.914634146341463,2014-2015,16,25.73170731707317,0.7735853658536586,40.91463414634146,21.597560975609756,15.012195121951219,8.146341463414634,-8.792682926829269
New Orleans Pelicans,0.3715,19.304878048780488,2014-2015,45,21.829268292682926,0.7481341463414635,43.451219512195124,22.024390243902438,13.25609756097561,6.7439024390243905,0.7926829268292683
New York Knicks,0.3532682926829268,19.682926829268293,2014-2015,17,19.20731707317073,0.7671341463414634,40.36585365853659,21.29268292682927,14.707317073170731,7.012195121951219,-9.317073170731707
Oklahoma City Thunder,0.33564634146341465,22.73170731707317,2014-2015,45,24.634146341463413,0.7412926829268293,47.51219512195122,20.5,14.695121951219512,7.2926829268292686,2.182926829268293
Orlando Magic,0.34786585365853656,19.48780487804878,2014-2015,25,19.085365853658537,0.7363536585365854,41.81707317073171,20.634146341463413,14.890243902439025,7.890243902439025,-5.719512195121951
Philadelphia 76ers,0.3149878048780488,26.341463414634145,2014-2015,18,23.817073170731707,0.6778536585365854,42.853658536585364,20.524390243902438,17.71951219512195,9.621951219512194,-8.975609756097562
Phoenix Suns,0.3375975609756098,24.975609756097562,2014-2015,39,21.548780487804876,0.7587195121951219,43.15853658536585,20.23170731707317,15.097560975609756,8.536585365853659,-0.9024390243902439
Portland Trail Blazers,0.36117073170731706,27.20731707317073,2014-2015,51,19.378048780487806,0.8025487804878049,45.853658536585364,21.9390243902439,13.621951219512194,6.402439024390244,4.2317073170731705
Sacramento Kings,0.3398048780487805,16.463414634146343,2014-2015,29,29.26829268292683,0.7600243902439024,44.18292682926829,20.329268292682926,16.25609756097561,6.7073170731707314,-3.707317073170732
San Antonio Spurs,0.3618048780487805,22.524390243902438,2014-2015,55,21.390243902439025,0.781670731707317,43.63414634146341,24.390243902439025,13.975609756097562,8.012195121951219,6.195121951219512
Toronto Raptors,0.35117073170731705,25.121951219512194,2014-2015,49,24.5609756097561,0.7903292682926829,41.548780487804876,20.74390243902439,12.890243902439025,7.5,3.073170731707317
Utah Jazz,0.3440853658536585,21.71951219512195,2014-2015,38,23.524390243902438,0.7229146341463415,43.96341463414634,19.902439024390244,15.317073170731707,7.597560975609756,0.21951219512195122
Washington Wizards,0.36173170731707316,16.841463414634145,2014-2015,46,21.4390243902439,0.7385975609756097,44.670731707317074,24.01219512195122,15.036585365853659,7.329268292682927,0.7195121951219512
