TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.3733170731707317,23.182926829268293,2012-2013,44
Boston Celtics,0.3600493827160494,17.160493827160494,2012-2013,41
Brooklyn Nets,0.3563658536585366,21.463414634146343,2012-2013,49
Charlotte Bobcats,0.3338536585365854,17.0609756097561,2012-2013,21
Chicago Bulls,0.3508170731707317,15.426829268292684,2012-2013,45
Cleveland Cavaliers,0.34402439024390247,19.28048780487805,2012-2013,24
Dallas Mavericks,0.36609756097560975,19.853658536585368,2012-2013,41
Denver Nuggets,0.34212195121951217,18.51219512195122,2012-2013,57
Detroit Pistons,0.35342682926829266,17.5609756097561,2012-2013,29
Golden State Warriors,0.40010975609756094,19.902439024390244,2012-2013,47
Houston Rockets,0.3658170731707317,28.890243902439025,2012-2013,45
Indiana Pacers,0.3492345679012346,19.74074074074074,2012-2013,49
Los Angeles Clippers,0.35437804878048784,21.365853658536587,2012-2013,56
Los Angeles Lakers,0.3534390243902439,24.573170731707318,2012-2013,45
Memphis Grizzlies,0.3409756097560976,13.5,2012-2013,56
Miami Heat,0.39356097560975606,22.0609756097561,2012-2013,66
Milwaukee Bucks,0.3557560975609756,20.365853658536587,2012-2013,38
Minnesota Timberwolves,0.30060975609756097,17.98780487804878,2012-2013,31
New Orleans Hornets,0.35834146341463413,17.975609756097562,2012-2013,27
New York Knicks,0.37320731707317073,28.914634146341463,2012-2013,54
Oklahoma City Thunder,0.3765731707317073,19.365853658536587,2012-2013,60
Orlando Magic,0.32241463414634147,18.74390243902439,2012-2013,20
Philadelphia 76ers,0.3585609756097561,17.536585365853657,2012-2013,34
Phoenix Suns,0.3283170731707317,17.74390243902439,2012-2013,25
Portland Trail Blazers,0.351390243902439,23.21951219512195,2012-2013,33
Sacramento Kings,0.35804878048780486,20.5,2012-2013,28
San Antonio Spurs,0.37720731707317073,21.51219512195122,2012-2013,58
Toronto Raptors,0.3365487804878049,20.304878048780488,2012-2013,34
Utah Jazz,0.35817073170731706,16.890243902439025,2012-2013,43
Washington Wizards,0.3664756097560976,18.23170731707317,2012-2013,29
