TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FTA,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Atlanta Hawks,0.36346341463414633,31.024390243902438,2017-2018,24,20.170731707317074,0.7870975609756098,41.90243902439025,23.73170731707317,15.536585365853659,7.780487804878049,-5.451219512195122
Boston Celtics,0.38128048780487805,30.390243902439025,2017-2018,55,20.695121951219512,0.7716219512195123,44.451219512195124,22.463414634146343,14.0,7.365853658536586,3.5853658536585367
Brooklyn Nets,0.355890243902439,35.65853658536585,2017-2018,28,22.5609756097561,0.7791463414634147,44.4390243902439,23.670731707317074,15.182926829268293,6.2439024390243905,-3.7439024390243905
Charlotte Hornets,0.3628780487804878,27.23170731707317,2017-2018,36,27.024390243902438,0.7473658536585366,45.46341463414634,21.585365853658537,12.695121951219512,6.817073170731708,0.25609756097560976
Chicago Bulls,0.3535121951219512,31.085365853658537,2017-2018,27,19.195121951219512,0.7570365853658536,44.65853658536585,23.451219512195124,13.987804878048781,7.634146341463414,-7.036585365853658
Cleveland Cavaliers,0.3723658536585366,32.146341463414636,2017-2018,50,23.28048780487805,0.7780853658536585,42.13414634146341,23.365853658536587,13.731707317073171,7.097560975609756,0.9390243902439024
Dallas Mavericks,0.360890243902439,32.78048780487805,2017-2018,24,18.658536585365855,0.7631829268292684,41.25609756097561,22.658536585365855,12.28048780487805,7.048780487804878,-3.0365853658536586
Denver Nuggets,0.3672073170731707,30.926829268292682,2017-2018,46,22.317073170731707,0.7709634146341463,44.51219512195122,25.109756097560975,14.951219512195122,7.646341463414634,1.475609756097561
Detroit Pistons,0.37228048780487805,28.9390243902439,2017-2018,39,19.76829268292683,0.7413780487804877,43.73170731707317,22.78048780487805,13.439024390243903,7.658536585365853,-0.14634146341463414
Golden State Warriors,0.3888048780487805,28.890243902439025,2017-2018,58,20.341463414634145,0.8139268292682927,43.51219512195122,29.29268292682927,15.426829268292684,8.0,5.975609756097561
Houston Rockets,0.3638292682926829,42.31707317073171,2017-2018,65,25.134146341463413,0.7802317073170731,43.46341463414634,21.548780487804876,13.841463414634147,8.524390243902438,8.475609756097562
Indiana Pacers,0.3657682926829268,24.51219512195122,2017-2018,48,19.182926829268293,0.7814512195121951,42.34146341463415,22.182926829268293,13.268292682926829,8.792682926829269,1.3780487804878048
LA Clippers,0.3511585365853659,26.78048780487805,2017-2018,42,25.548780487804876,0.7393170731707317,43.8780487804878,22.341463414634145,14.682926829268293,7.658536585365853,0.036585365853658534
Los Angeles Lakers,0.3399756097560976,29.073170731707318,2017-2018,35,23.29268292682927,0.718451219512195,46.3780487804878,23.76829268292683,15.792682926829269,7.719512195121951,-1.548780487804878
Memphis Grizzlies,0.35098780487804876,26.24390243902439,2017-2018,22,21.121951219512194,0.7820975609756098,40.52439024390244,21.548780487804876,14.963414634146341,7.475609756097561,-6.2073170731707314
Miami Heat,0.35797560975609755,30.5609756097561,2017-2018,44,19.524390243902438,0.7557682926829268,43.46341463414634,22.70731707317073,14.365853658536585,7.560975609756097,0.47560975609756095
Milwaukee Bucks,0.3562682926829268,24.682926829268293,2017-2018,44,23.353658536585368,0.7840731707317072,39.84146341463415,23.23170731707317,13.841463414634147,8.804878048780488,-0.3048780487804878
Minnesota Timberwolves,0.358,22.5,2017-2018,47,24.146341463414632,0.8023292682926829,41.96341463414634,22.695121951219512,12.451219512195122,8.402439024390244,2.231707317073171
New Orleans Pelicans,0.3594390243902439,28.195121951219512,2017-2018,48,20.926829268292682,0.7743536585365853,44.329268292682926,26.76829268292683,14.914634146341463,8.012195121951219,1.3048780487804879
New York Knicks,0.3525853658536585,23.341463414634145,2017-2018,29,18.98780487804878,0.7868170731707318,44.03658536585366,23.317073170731707,14.731707317073171,6.7317073170731705,-3.5609756097560976
Oklahoma City Thunder,0.35214634146341467,30.378048780487806,2017-2018,48,24.20731707317073,0.7146463414634147,45.0609756097561,21.341463414634145,13.987804878048781,9.060975609756097,3.4146341463414633
Orlando Magic,0.3480121951219512,29.329268292682926,2017-2018,25,20.463414634146343,0.7618658536585365,41.63414634146341,23.426829268292682,14.536585365853659,7.585365853658536,-4.817073170731708
Philadelphia 76ers,0.366890243902439,29.817073170731707,2017-2018,52,22.78048780487805,0.7592682926829268,47.426829268292686,27.085365853658537,16.5,8.317073170731707,4.5
Phoenix Suns,0.3353780487804878,27.878048780487806,2017-2018,21,23.926829268292682,0.7375853658536585,44.1219512195122,21.25609756097561,15.71951219512195,6.939024390243903,-9.365853658536585
Portland Trail Blazers,0.36734146341463414,28.146341463414632,2017-2018,49,20.914634146341463,0.8052560975609757,45.46341463414634,19.5,13.524390243902438,6.987804878048781,2.597560975609756
Sacramento Kings,0.37691463414634147,23.98780487804878,2017-2018,27,16.71951219512195,0.7405731707317073,40.90243902439025,21.5609756097561,13.71951219512195,7.841463414634147,-6.987804878048781
San Antonio Spurs,0.35225609756097565,24.109756097560975,2017-2018,47,20.914634146341463,0.7780975609756098,44.21951219512195,22.78048780487805,13.146341463414634,7.658536585365853,2.8902439024390243
Toronto Raptors,0.35723170731707315,32.98780487804878,2017-2018,59,21.829268292682926,0.7880609756097561,43.98780487804878,24.329268292682926,13.353658536585366,7.634146341463414,7.780487804878049
Utah Jazz,0.36653658536585365,29.573170731707318,2017-2018,48,21.536585365853657,0.7833170731707317,43.25609756097561,22.426829268292682,14.695121951219512,8.634146341463415,4.304878048780488
Washington Wizards,0.37296341463414634,26.5,2017-2018,43,21.78048780487805,0.7746951219512195,43.1219512195122,25.182926829268293,14.585365853658537,7.865853658536586,0.5853658536585366
