TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins,TEAM FTA,TEAM FT_PCT,TEAM REB,TEAM AST,TEAM TOV,TEAM STL,TEAM PLUS_MINUS
Atlanta Hawks,0.3717272727272727,20.151515151515152,2011-2012,40,20.984848484848484,0.7486363636363635,41.18181818181818,22.439393939393938,13.954545454545455,8.121212121212121,3.4393939393939394
Boston Celtics,0.3610606060606061,14.969696969696969,2011-2012,39,19.818181818181817,0.7858636363636363,38.78787878787879,23.59090909090909,14.833333333333334,7.545454545454546,2.515151515151515
Charlotte Bobcats,0.28774242424242424,13.515151515151516,2011-2012,7,22.151515151515152,0.7427575757575757,38.95454545454545,20.09090909090909,14.5,6.015151515151516,-13.909090909090908
Chicago Bulls,0.3758484848484849,16.924242424242426,2011-2012,50,21.12121212121212,0.7195,46.666666666666664,23.136363636363637,13.984848484848484,6.909090909090909,8.181818181818182
Cleveland Cavaliers,0.343969696969697,19.28787878787879,2011-2012,21,24.924242424242426,0.7190757575757576,42.27272727272727,19.818181818181817,15.409090909090908,7.0606060606060606,-7.196969696969697
Dallas Mavericks,0.34059090909090906,22.181818181818183,2011-2012,36,20.21212121212121,0.7713030303030303,42.75757575757576,20.90909090909091,14.030303030303031,8.56060606060606,0.9545454545454546
Denver Nuggets,0.3348181818181818,19.863636363636363,2011-2012,38,26.666666666666668,0.736030303030303,43.07575757575758,23.954545454545453,15.378787878787879,8.181818181818182,2.878787878787879
Detroit Pistons,0.3346969696969697,13.878787878787879,2011-2012,25,22.136363636363637,0.7592878787878787,40.25757575757576,18.666666666666668,15.651515151515152,6.96969696969697,-4.787878787878788
Golden State Warriors,0.3798484848484849,20.46969696969697,2011-2012,23,18.71212121212121,0.7697424242424242,39.196969696969695,22.272727272727273,13.863636363636363,8.0,-3.409090909090909
Houston Rockets,0.361,20.151515151515152,2011-2012,34,19.71212121212121,0.7797878787878788,42.166666666666664,21.272727272727273,14.469696969696969,7.515151515151516,0.22727272727272727
Indiana Pacers,0.3670151515151515,16.12121212121212,2011-2012,42,26.12121212121212,0.7822272727272728,43.878787878787875,18.606060606060606,14.015151515151516,7.924242424242424,3.303030303030303
Los Angeles Clippers,0.3519242424242424,21.833333333333332,2011-2012,40,23.303030303030305,0.674409090909091,41.56060606060606,20.984848484848484,13.318181818181818,8.424242424242424,2.5606060606060606
Los Angeles Lakers,0.32251515151515153,16.848484848484848,2011-2012,41,24.075757575757574,0.7577424242424243,46.21212121212121,22.5,15.106060606060606,5.909090909090909,1.4242424242424243
Memphis Grizzlies,0.32303030303030306,12.863636363636363,2011-2012,41,22.78787878787879,0.7605757575757576,42.04545454545455,19.545454545454547,14.469696969696969,9.56060606060606,2.015151515151515
Miami Heat,0.35248484848484846,15.606060606060606,2011-2012,46,24.21212121212121,0.7723333333333333,41.60606060606061,19.954545454545453,15.181818181818182,8.863636363636363,5.984848484848484
Milwaukee Bucks,0.33915151515151515,19.166666666666668,2011-2012,31,21.439393939393938,0.7785909090909091,42.46969696969697,23.484848484848484,14.075757575757576,8.303030303030303,0.2727272727272727
Minnesota Timberwolves,0.32899999999999996,21.560606060606062,2011-2012,26,25.181818181818183,0.7723636363636364,43.72727272727273,19.545454545454547,15.166666666666666,6.606060606060606,-2.196969696969697
New Jersey Nets,0.3351363636363636,22.439393939393938,2011-2012,22,21.71212121212121,0.7817878787878788,40.333333333333336,19.863636363636363,15.075757575757576,7.46969696969697,-5.984848484848484
New Orleans Hornets,0.3362727272727273,11.772727272727273,2011-2012,21,21.166666666666668,0.7605,41.13636363636363,20.727272727272727,15.515151515151516,7.393939393939394,-3.757575757575758
New York Knicks,0.3285151515151515,23.303030303030305,2011-2012,36,24.757575757575758,0.7402121212121212,41.74242424242424,20.12121212121212,16.0,9.424242424242424,3.196969696969697
Oklahoma City Thunder,0.3625151515151515,19.954545454545453,2011-2012,47,26.424242424242426,0.8082878787878788,43.68181818181818,18.545454545454547,16.348484848484848,7.545454545454546,6.121212121212121
Orlando Magic,0.37366666666666665,27.045454545454547,2011-2012,37,22.848484848484848,0.6581060606060607,42.45454545454545,20.015151515151516,14.909090909090908,6.833333333333333,0.7878787878787878
Philadelphia 76ers,0.3530606060606061,14.590909090909092,2011-2012,35,18.151515151515152,0.7417272727272728,43.15151515151515,22.015151515151516,11.181818181818182,7.96969696969697,4.242424242424242
Phoenix Suns,0.34295454545454546,19.62121212121212,2011-2012,33,21.166666666666668,0.7597878787878788,41.696969696969695,22.515151515151516,14.06060606060606,6.53030303030303,-0.24242424242424243
Portland Trail Blazers,0.3428333333333333,20.939393939393938,2011-2012,28,21.560606060606062,0.7946969696969698,40.666666666666664,20.439393939393938,14.166666666666666,8.0,-0.6212121212121212
