,AST,REB,TOV,FTA,STL,Total_Wins
AST,1.0,0.27356897065503727,-0.06882102937765557,-0.2345093058154365,0.1013594932939932,0.26332748766947145
REB,0.27356897065503727,1.0,0.04872510723989578,0.14261570860956813,-0.1415446957826164,0.24753988608194344
TOV,-0.06882102937765557,0.04872510723989578,1.0,0.2248928543917481,0.15358009727524427,-0.3030199819313416
FTA,-0.2345093058154365,0.14261570860956813,0.2248928543917481,1.0,0.06619615039464152,0.1175493175006887
STL,0.1013594932939932,-0.1415446957826164,0.15358009727524427,0.06619615039464152,1.0,0.16678695062175206
Total_Wins,0.26332748766947145,0.24753988608194344,-0.3030199819313416,0.1175493175006887,0.16678695062175206,1.0
