TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.3594878048780488,17.402439024390244,2010-2011,44
Boston Celtics,0.3614512195121951,13.646341463414634,2010-2011,56
Charlotte Bobcats,0.31958536585365854,14.670731707317072,2010-2011,34
Chicago Bulls,0.3603292682926829,17.25609756097561,2010-2011,62
Cleveland Cavaliers,0.3413414634146341,18.158536585365855,2010-2011,19
Dallas Mavericks,0.3644268292682927,21.5609756097561,2010-2011,57
Denver Nuggets,0.3798170731707317,20.78048780487805,2010-2011,50
Detroit Pistons,0.3700731707317073,15.317073170731707,2010-2011,30
Golden State Warriors,0.3842926829268293,21.329268292682926,2010-2011,36
Houston Rockets,0.3663170731707317,22.475609756097562,2010-2011,43
Indiana Pacers,0.34985365853658534,20.158536585365855,2010-2011,37
Los Angeles Clippers,0.3374268292682927,18.524390243902438,2010-2011,32
Los Angeles Lakers,0.3515609756097561,18.134146341463413,2010-2011,57
Memphis Grizzlies,0.3286829268292683,11.292682926829269,2010-2011,46
Miami Heat,0.36735365853658536,18.036585365853657,2010-2011,58
Milwaukee Bucks,0.341780487804878,17.24390243902439,2010-2011,35
Minnesota Timberwolves,0.37491463414634146,19.085365853658537,2010-2011,17
New Jersey Nets,0.3447195121951219,16.304878048780488,2010-2011,24
New Orleans Hornets,0.36246341463414633,15.024390243902438,2010-2011,46
New York Knicks,0.36552439024390243,25.378048780487806,2010-2011,42
Oklahoma City Thunder,0.34929268292682925,17.109756097560975,2010-2011,55
Orlando Magic,0.3613048780487805,25.646341463414632,2010-2011,52
Philadelphia 76ers,0.35193902439024394,15.21951219512195,2010-2011,41
Phoenix Suns,0.3692682926829268,22.646341463414632,2010-2011,40
Portland Trail Blazers,0.345719512195122,18.329268292682926,2010-2011,48
Sacramento Kings,0.3352317073170732,15.573170731707316,2010-2011,24
San Antonio Spurs,0.39558536585365855,21.0609756097561,2010-2011,61
Toronto Raptors,0.30841463414634146,13.304878048780488,2010-2011,22
Utah Jazz,0.33420731707317075,15.317073170731707,2010-2011,39
Washington Wizards,0.3264146341463415,14.414634146341463,2010-2011,23
