TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.3413414634146341,26.0609756097561,2016-2017,43
Boston Celtics,0.35874390243902443,33.426829268292686,2016-2017,53
Brooklyn Nets,0.33720731707317075,31.597560975609756,2016-2017,20
Charlotte Hornets,0.34804878048780485,28.621951219512194,2016-2017,36
Chicago Bulls,0.33440243902439026,22.329268292682926,2016-2017,41
Cleveland Cavaliers,0.3821707317073171,33.890243902439025,2016-2017,51
Dallas Mavericks,0.35536585365853657,30.158536585365855,2016-2017,33
Denver Nuggets,0.3681219512195122,28.841463414634145,2016-2017,40
Detroit Pistons,0.32687804878048776,23.353658536585368,2016-2017,37
Golden State Warriors,0.38595121951219513,31.24390243902439,2016-2017,67
Houston Rockets,0.3561829268292683,40.31707317073171,2016-2017,55
Indiana Pacers,0.37153658536585366,22.98780487804878,2016-2017,42
LA Clippers,0.3736829268292683,27.378048780487806,2016-2017,51
Los Angeles Lakers,0.3425,25.73170731707317,2016-2017,26
Memphis Grizzlies,0.3509634146341463,26.451219512195124,2016-2017,43
Miami Heat,0.36090243902439023,26.98780487804878,2016-2017,41
Milwaukee Bucks,0.3725,23.73170731707317,2016-2017,42
Minnesota Timberwolves,0.34623170731707315,21.01219512195122,2016-2017,31
New Orleans Pelicans,0.34665853658536583,26.78048780487805,2016-2017,34
New York Knicks,0.34887804878048784,24.658536585365855,2016-2017,31
Oklahoma City Thunder,0.32653658536585367,25.804878048780488,2016-2017,47
Orlando Magic,0.32870731707317075,26.085365853658537,2016-2017,29
Philadelphia 76ers,0.34002439024390246,29.79268292682927,2016-2017,28
Phoenix Suns,0.33313414634146343,22.609756097560975,2016-2017,24
Portland Trail Blazers,0.37509756097560976,27.70731707317073,2016-2017,41
Sacramento Kings,0.3804268292682927,23.902439024390244,2016-2017,32
San Antonio Spurs,0.3940121951219512,23.5,2016-2017,61
Toronto Raptors,0.3649268292682927,24.341463414634145,2016-2017,51
Utah Jazz,0.371609756097561,25.951219512195124,2016-2017,51
Washington Wizards,0.37403658536585366,24.75609756097561,2016-2017,49
