TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.3717272727272727,20.151515151515152,2011-2012,40
Boston Celtics,0.3610606060606061,14.969696969696969,2011-2012,39
Charlotte Bobcats,0.28774242424242424,13.515151515151516,2011-2012,7
Chicago Bulls,0.3758484848484849,16.924242424242426,2011-2012,50
Cleveland Cavaliers,0.343969696969697,19.28787878787879,2011-2012,21
Dallas Mavericks,0.34059090909090906,22.181818181818183,2011-2012,36
Denver Nuggets,0.3348181818181818,19.863636363636363,2011-2012,38
Detroit Pistons,0.3346969696969697,13.878787878787879,2011-2012,25
Golden State Warriors,0.3798484848484849,20.46969696969697,2011-2012,23
Houston Rockets,0.361,20.151515151515152,2011-2012,34
Indiana Pacers,0.3670151515151515,16.12121212121212,2011-2012,42
Los Angeles Clippers,0.3519242424242424,21.833333333333332,2011-2012,40
Los Angeles Lakers,0.32251515151515153,16.848484848484848,2011-2012,41
Memphis Grizzlies,0.32303030303030306,12.863636363636363,2011-2012,41
Miami Heat,0.35248484848484846,15.606060606060606,2011-2012,46
Milwaukee Bucks,0.33915151515151515,19.166666666666668,2011-2012,31
Minnesota Timberwolves,0.32899999999999996,21.560606060606062,2011-2012,26
New Jersey Nets,0.3351363636363636,22.439393939393938,2011-2012,22
New Orleans Hornets,0.3362727272727273,11.772727272727273,2011-2012,21
New York Knicks,0.3285151515151515,23.303030303030305,2011-2012,36
Oklahoma City Thunder,0.3625151515151515,19.954545454545453,2011-2012,47
Orlando Magic,0.37366666666666665,27.045454545454547,2011-2012,37
Philadelphia 76ers,0.3530606060606061,14.590909090909092,2011-2012,35
Phoenix Suns,0.34295454545454546,19.62121212121212,2011-2012,33
Portland Trail Blazers,0.3428333333333333,20.939393939393938,2011-2012,28
Sacramento Kings,0.31166666666666665,19.71212121212121,2011-2012,22
San Antonio Spurs,0.3962878787878788,21.28787878787879,2011-2012,50
Toronto Raptors,0.33206060606060606,16.28787878787879,2011-2012,23
Utah Jazz,0.31792424242424244,12.803030303030303,2011-2012,36
Washington Wizards,0.31093939393939396,16.28787878787879,2011-2012,20
