TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.35979268292682925,25.804878048780488,2013-2014,38
Boston Celtics,0.3271707317073171,21.085365853658537,2013-2014,25
Brooklyn Nets,0.3616341463414634,23.4390243902439,2013-2014,44
Charlotte Bobcats,0.3495853658536585,17.9390243902439,2013-2014,43
Chicago Bulls,0.34659756097560973,17.79268292682927,2013-2014,48
Cleveland Cavaliers,0.35476829268292687,20.0,2013-2014,33
Dallas Mavericks,0.3818048780487805,22.890243902439025,2013-2014,49
Denver Nuggets,0.3571951219512195,23.890243902439025,2013-2014,36
Detroit Pistons,0.31246341463414634,19.26829268292683,2013-2014,29
Golden State Warriors,0.3790487804878049,24.841463414634145,2013-2014,51
Houston Rockets,0.35659756097560974,26.573170731707318,2013-2014,54
Indiana Pacers,0.3563170731707317,18.804878048780488,2013-2014,56
Los Angeles Clippers,0.35125609756097564,23.975609756097562,2013-2014,57
Los Angeles Lakers,0.3770731707317073,24.78048780487805,2013-2014,27
Memphis Grizzlies,0.35191463414634144,13.987804878048781,2013-2014,50
Miami Heat,0.36415853658536584,22.304878048780488,2013-2014,54
Milwaukee Bucks,0.3565243902439024,18.9390243902439,2013-2014,15
Minnesota Timberwolves,0.3382195121951219,21.426829268292682,2013-2014,40
New Orleans Pelicans,0.3725,15.890243902439025,2013-2014,34
New York Knicks,0.3689390243902439,24.853658536585368,2013-2014,37
Oklahoma City Thunder,0.3644390243902439,22.426829268292682,2013-2014,59
Orlando Magic,0.35365853658536583,19.463414634146343,2013-2014,23
Philadelphia 76ers,0.3126951219512195,22.524390243902438,2013-2014,19
Phoenix Suns,0.37558536585365854,25.0609756097561,2013-2014,48
Portland Trail Blazers,0.37065853658536585,25.25609756097561,2013-2014,54
Sacramento Kings,0.32820731707317075,17.98780487804878,2013-2014,28
San Antonio Spurs,0.3970975609756097,21.426829268292682,2013-2014,62
Toronto Raptors,0.3703170731707317,23.378048780487806,2013-2014,48
Utah Jazz,0.3440731707317073,19.23170731707317,2013-2014,25
Washington Wizards,0.3765,20.78048780487805,2013-2014,44
