season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage
2021-22,Aaron Gordon,203932,-28,27.0,8.0,1.0,0.333
2021-22,Aaron Gordon,203932,-27,27.0,9.0,0.0,0.333
2021-22,Aaron Gordon,203932,-18,21.0,13.0,0.0,0.6
2021-22,Aaron Gordon,203932,-16,29.5,16.0,3.5,0.5275
2021-22,Aaron Gordon,203932,-15,33.5,17.0,3.5,0.55
2021-22,Aaron Gordon,203932,-14,34.0,16.5,2.0,0.639
2021-22,Aaron Gordon,203932,-13,20.0,7.0,2.0,0.5
2021-22,Aaron Gordon,203932,-12,31.5,10.5,2.0,0.369
2021-22,Aaron Gordon,203932,-11,33.0,21.0,0.0,0.625
2021-22,Aaron Gordon,203932,-7,32.0,20.0,2.5,0.595
2021-22,Aaron Gordon,203932,-6,33.0,17.0,2.0,0.533
2021-22,Aaron Gordon,203932,-5,28.0,15.0,1.0,0.5
2021-22,Aaron Gordon,203932,-4,35.0,25.0,3.0,0.75
2021-22,Aaron Gordon,203932,-2,29.5,9.5,1.0,0.33599999999999997
2021-22,Aaron Gordon,203932,-1,29.0,12.5,1.0,0.596
2021-22,Aaron Gordon,203932,0,37.0,17.0,3.0,0.583
2021-22,Aaron Gordon,203932,1,31.333333333333332,15.333333333333334,2.3333333333333335,0.6549999999999999
2021-22,Aaron Gordon,203932,2,30.0,13.0,2.25,0.3655
2021-22,Aaron Gordon,203932,3,32.75,12.75,2.25,0.49225
2021-22,Aaron Gordon,203932,5,29.0,10.666666666666666,1.0,0.6
2021-22,Aaron Gordon,203932,6,33.5,16.25,1.75,0.54275
2021-22,Aaron Gordon,203932,7,30.5,15.0,2.0,0.4645
2021-22,Aaron Gordon,203932,8,31.5,16.0,4.5,0.5445
2021-22,Aaron Gordon,203932,9,30.0,17.5,3.5,0.631
2021-22,Aaron Gordon,203932,10,35.0,18.5,4.0,0.501
2021-22,Aaron Gordon,203932,11,29.5,7.0,3.0,0.39649999999999996
2021-22,Aaron Gordon,203932,12,27.0,6.5,4.5,0.45
2021-22,Aaron Gordon,203932,13,28.333333333333332,13.666666666666666,2.0,0.47466666666666674
2021-22,Aaron Gordon,203932,14,36.0,17.0,3.0,0.5035000000000001
2021-22,Aaron Gordon,203932,17,34.0,22.0,2.0,0.636
2021-22,Aaron Gordon,203932,18,34.333333333333336,18.333333333333332,4.0,0.5936666666666667
2021-22,Aaron Gordon,203932,20,31.5,18.5,4.5,0.474
2021-22,Aaron Gordon,203932,21,43.0,28.0,3.0,0.625
2021-22,Aaron Gordon,203932,22,29.0,12.0,4.0,0.833
2021-22,Aaron Gordon,203932,24,28.333333333333332,19.0,1.0,0.5753333333333334
2021-22,Aaron Gordon,203932,26,31.0,12.0,2.0,0.4
2021-22,Aaron Gordon,203932,28,32.0,16.0,4.0,0.538
2021-22,Aaron Gordon,203932,29,32.0,17.0,7.0,0.429
2021-22,Aaron Holiday,1628988,-23,27.0,8.0,1.0,0.5
2021-22,Aaron Holiday,1628988,-18,22.0,11.0,3.0,0.5
2021-22,Aaron Holiday,1628988,-16,26.0,12.0,1.0,0.545
2021-22,Aaron Holiday,1628988,-12,21.0,5.0,3.0,0.222
2021-22,Aaron Holiday,1628988,-9,29.0,4.0,5.0,0.286
2021-22,Aaron Holiday,1628988,-8,34.0,11.0,4.0,0.556
2021-22,Aaron Holiday,1628988,-6,24.0,12.0,5.0,0.444
2021-22,Aaron Holiday,1628988,-5,21.0,11.0,5.0,0.556
2021-22,Aaron Holiday,1628988,-2,25.0,7.0,2.0,0.333
2021-22,Aaron Holiday,1628988,0,33.0,10.0,5.0,0.176
2021-22,Aaron Holiday,1628988,4,24.0,8.0,3.5,0.375
2021-22,Aaron Holiday,1628988,7,28.0,16.0,5.0,0.545
2021-22,Aaron Holiday,1628988,9,24.0,7.0,4.0,0.5
2021-22,Aaron Holiday,1628988,11,20.5,10.0,5.0,0.619
2021-22,Aaron Holiday,1628988,12,20.0,6.0,3.0,0.4
2021-22,Aaron Holiday,1628988,13,22.0,9.0,7.0,0.4
2021-22,Aaron Holiday,1628988,16,24.0,12.0,5.0,1.0
2021-22,Aaron Holiday,1628988,19,27.0,9.0,9.0,0.333
2021-22,Aaron Nesmith,1630174,-12,20.0,0.0,0.0,0.0
2021-22,Aaron Nesmith,1630174,-1,38.0,13.0,1.0,0.625
2021-22,Aaron Nesmith,1630174,5,26.0,0.0,1.0,0.0
2021-22,Aaron Nesmith,1630174,7,22.0,11.0,0.0,0.375
2021-22,Aaron Nesmith,1630174,11,22.0,5.0,1.0,0.5
2021-22,Aaron Nesmith,1630174,24,23.0,18.0,0.0,0.667
2021-22,Aaron Nesmith,1630174,29,22.0,11.0,3.0,0.5
2021-22,Aaron Wiggins,1630598,-23,22.0,4.0,0.0,0.5
2021-22,Aaron Wiggins,1630598,-21,38.0,25.0,5.0,0.474
2021-22,Aaron Wiggins,1630598,-19,28.666666666666668,5.666666666666667,0.6666666666666666,0.28833333333333333
2021-22,Aaron Wiggins,1630598,-18,30.0,8.666666666666666,2.6666666666666665,0.295
2021-22,Aaron Wiggins,1630598,-17,33.0,13.0,3.0,0.444
2021-22,Aaron Wiggins,1630598,-16,21.0,6.0,0.0,0.429
2021-22,Aaron Wiggins,1630598,-15,29.0,13.0,1.0,0.5135
2021-22,Aaron Wiggins,1630598,-11,33.0,2.0,3.0,0.2
2021-22,Aaron Wiggins,1630598,-10,21.0,8.0,0.0,0.375
2021-22,Aaron Wiggins,1630598,-9,28.5,8.0,2.0,0.479
2021-22,Aaron Wiggins,1630598,-8,23.0,8.0,1.0,0.667
2021-22,Aaron Wiggins,1630598,-7,38.0,22.0,1.0,0.526
2021-22,Aaron Wiggins,1630598,-6,29.0,17.0,1.0,0.714
2021-22,Aaron Wiggins,1630598,-4,26.0,5.5,2.0,0.325
2021-22,Aaron Wiggins,1630598,-3,26.0,5.0,1.0,0.25
2021-22,Aaron Wiggins,1630598,0,32.0,24.0,1.0,0.8
2021-22,Aaron Wiggins,1630598,1,34.0,19.0,4.5,0.4715
2021-22,Aaron Wiggins,1630598,3,37.0,10.0,0.0,0.4
2021-22,Aaron Wiggins,1630598,5,30.0,8.0,0.0,0.667
