season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage
2022-23,A.J. Lawson,1630639,-19,22.0,12.0,0.0,0.556
2022-23,A.J. Lawson,1630639,-13,23.0,10.0,1.0,0.444
2022-23,AJ Green,1631260,-2,23.0,15.0,1.0,0.625
2022-23,AJ Green,1631260,9,21.0,7.0,1.0,0.333
2022-23,AJ Griffin,1631100,-21,20.0,6.0,1.0,0.333
2022-23,AJ Griffin,1631100,-19,24.0,13.0,1.0,0.417
2022-23,AJ Griffin,1631100,-16,24.0,4.0,2.0,0.2
2022-23,AJ Griffin,1631100,-13,20.0,10.0,2.0,0.364
2022-23,AJ Griffin,1631100,-10,28.0,9.0,2.0,0.231
2022-23,AJ Griffin,1631100,-8,32.5,14.0,1.5,0.6034999999999999
2022-23,AJ Griffin,1631100,-6,28.0,13.666666666666666,0.6666666666666666,0.5333333333333333
2022-23,AJ Griffin,1631100,-5,34.0,24.0,1.0,0.688
2022-23,AJ Griffin,1631100,-3,25.333333333333332,12.0,2.0,0.387
2022-23,AJ Griffin,1631100,-2,22.0,12.0,0.5,0.522
2022-23,AJ Griffin,1631100,-1,21.0,14.0,0.0,0.714
2022-23,AJ Griffin,1631100,0,23.0,13.0,3.0,0.714
2022-23,AJ Griffin,1631100,1,23.333333333333332,11.0,1.0,0.5
2022-23,AJ Griffin,1631100,3,24.0,12.0,2.0,0.5
2022-23,AJ Griffin,1631100,5,22.0,16.0,1.0,0.667
2022-23,AJ Griffin,1631100,6,40.0,17.0,2.0,0.412
2022-23,AJ Griffin,1631100,7,21.5,13.5,0.5,0.432
2022-23,AJ Griffin,1631100,9,20.0,12.0,2.0,0.833
2022-23,AJ Griffin,1631100,10,22.0,10.0,0.0,0.75
2022-23,AJ Griffin,1631100,12,25.0,9.5,2.0,0.3835
2022-23,AJ Griffin,1631100,15,25.0,19.0,2.0,0.615
2022-23,AJ Griffin,1631100,17,27.0,13.0,2.0,0.625
2022-23,AJ Griffin,1631100,22,23.0,9.0,3.0,0.5
2022-23,AJ Griffin,1631100,25,23.0,11.0,3.0,0.444
2022-23,AJ Griffin,1631100,28,31.0,24.0,1.0,0.667
2022-23,Aaron Gordon,203932,-22,31.0,11.0,4.0,0.5
2022-23,Aaron Gordon,203932,-18,32.0,13.0,4.0,0.545
2022-23,Aaron Gordon,203932,-16,27.0,26.0,1.0,0.75
2022-23,Aaron Gordon,203932,-13,30.0,20.0,0.0,0.667
2022-23,Aaron Gordon,203932,-10,31.75,14.25,3.25,0.448
2022-23,Aaron Gordon,203932,-7,34.5,20.5,1.0,0.6439999999999999
2022-23,Aaron Gordon,203932,-6,31.0,27.0,2.0,0.769
2022-23,Aaron Gordon,203932,-4,29.0,17.0,2.0,0.5145
2022-23,Aaron Gordon,203932,-3,36.0,26.0,6.0,0.435
2022-23,Aaron Gordon,203932,-2,38.0,15.0,1.0,0.267
2022-23,Aaron Gordon,203932,-1,32.5,20.5,3.0,0.6759999999999999
2022-23,Aaron Gordon,203932,0,27.5,9.75,2.25,0.4865
2022-23,Aaron Gordon,203932,1,28.0,15.0,2.0,0.6
2022-23,Aaron Gordon,203932,2,31.0,14.0,7.0,0.5
