TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.36415853658536584,37.707317073170735,2023-2024,36
Boston Celtics,0.38759756097560977,42.46341463414634,2023-2024,64
Brooklyn Nets,0.3618170731707317,36.707317073170735,2023-2024,32
Charlotte Hornets,0.35336585365853657,34.0,2023-2024,21
Chicago Bulls,0.35690243902439023,32.073170731707314,2023-2024,39
Cleveland Cavaliers,0.3663780487804878,36.78048780487805,2023-2024,48
Dallas Mavericks,0.3670121951219512,39.53658536585366,2023-2024,50
Denver Nuggets,0.3732682926829268,31.21951219512195,2023-2024,57
Detroit Pistons,0.3487804878048781,31.73170731707317,2023-2024,14
Golden State Warriors,0.3790609756097561,38.91463414634146,2023-2024,46
Houston Rockets,0.3520609756097561,36.146341463414636,2023-2024,41
Indiana Pacers,0.37285365853658536,35.25609756097561,2023-2024,47
LA Clippers,0.3824268292682927,33.15853658536585,2023-2024,51
Los Angeles Lakers,0.37426829268292683,31.365853658536587,2023-2024,47
Memphis Grizzlies,0.3452317073170732,37.76829268292683,2023-2024,27
Miami Heat,0.37,33.71951219512195,2023-2024,46
Milwaukee Bucks,0.3726829268292683,38.073170731707314,2023-2024,49
Minnesota Timberwolves,0.38701219512195123,32.69512195121951,2023-2024,56
New Orleans Pelicans,0.3781341463414634,32.59756097560975,2023-2024,49
New York Knicks,0.36946341463414634,35.80487804878049,2023-2024,50
Oklahoma City Thunder,0.38720731707317074,34.207317073170735,2023-2024,57
Orlando Magic,0.35223170731707315,31.317073170731707,2023-2024,47
Philadelphia 76ers,0.36003658536585365,33.329268292682926,2023-2024,47
Phoenix Suns,0.3798658536585366,32.573170731707314,2023-2024,49
Portland Trail Blazers,0.3456585365853659,33.207317073170735,2023-2024,21
Sacramento Kings,0.36559756097560975,39.25609756097561,2023-2024,46
San Antonio Spurs,0.34880487804878046,36.3780487804878,2023-2024,22
Toronto Raptors,0.34582926829268296,33.073170731707314,2023-2024,25
Utah Jazz,0.35313414634146345,36.5,2023-2024,31
Washington Wizards,0.34748780487804876,35.548780487804876,2023-2024,15
