TEAM_NAME,FG3A
Atlanta Hawks,17.402439024390244
Boston Celtics,13.646341463414634
Charlotte Bobcats,14.670731707317072
Chicago Bulls,17.25609756097561
Cleveland Cavaliers,18.158536585365855
Dallas Mavericks,21.5609756097561
Denver Nuggets,20.78048780487805
Detroit Pistons,15.317073170731707
Golden State Warriors,21.329268292682926
Houston Rockets,22.475609756097562
Indiana Pacers,20.158536585365855
Los Angeles Clippers,18.524390243902438
Los Angeles Lakers,18.134146341463413
Memphis Grizzlies,11.292682926829269
Miami Heat,18.036585365853657
Milwaukee Bucks,17.24390243902439
Minnesota Timberwolves,19.085365853658537
New Jersey Nets,16.304878048780488
New Orleans Hornets,15.024390243902438
New York Knicks,25.378048780487806
Oklahoma City Thunder,17.109756097560975
Orlando Magic,25.646341463414632
Philadelphia 76ers,15.21951219512195
Phoenix Suns,22.646341463414632
Portland Trail Blazers,18.329268292682926
Sacramento Kings,15.573170731707316
San Antonio Spurs,21.0609756097561
Toronto Raptors,13.304878048780488
Utah Jazz,15.317073170731707
Washington Wizards,14.414634146341463
