TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.35339024390243906,30.548780487804876,2022-2023,41
Boston Celtics,0.37540243902439024,42.58536585365854,2022-2023,57
Brooklyn Nets,0.3801341463414634,33.792682926829265,2022-2023,45
Charlotte Hornets,0.3294756097560976,32.548780487804876,2022-2023,27
Chicago Bulls,0.357,28.865853658536587,2022-2023,40
Cleveland Cavaliers,0.3663170731707317,31.573170731707318,2022-2023,51
Dallas Mavericks,0.3713170731707317,41.0,2022-2023,38
Denver Nuggets,0.3760121951219512,31.20731707317073,2022-2023,53
Detroit Pistons,0.3478780487804878,32.426829268292686,2022-2023,17
Golden State Warriors,0.3846341463414634,43.170731707317074,2022-2023,44
Houston Rockets,0.32314634146341464,31.9390243902439,2022-2023,22
Indiana Pacers,0.3659512195121951,36.951219512195124,2022-2023,35
LA Clippers,0.377,33.34146341463415,2022-2023,44
Los Angeles Lakers,0.3480365853658537,31.195121951219512,2022-2023,43
Memphis Grizzlies,0.349780487804878,34.23170731707317,2022-2023,51
Miami Heat,0.34431707317073174,34.78048780487805,2022-2023,44
Milwaukee Bucks,0.36791463414634146,40.31707317073171,2022-2023,58
Minnesota Timberwolves,0.3635121951219512,33.30487804878049,2022-2023,42
New Orleans Pelicans,0.3615609756097561,30.097560975609756,2022-2023,42
New York Knicks,0.3538414634146341,35.73170731707317,2022-2023,47
Oklahoma City Thunder,0.356890243902439,34.109756097560975,2022-2023,40
Orlando Magic,0.34807317073170735,31.109756097560975,2022-2023,34
Philadelphia 76ers,0.38501219512195123,32.6219512195122,2022-2023,54
Phoenix Suns,0.3713170731707317,32.609756097560975,2022-2023,45
Portland Trail Blazers,0.3641463414634146,35.28048780487805,2022-2023,33
Sacramento Kings,0.36771951219512194,37.31707317073171,2022-2023,48
San Antonio Spurs,0.34648780487804876,32.19512195121951,2022-2023,22
Toronto Raptors,0.3361585365853659,32.02439024390244,2022-2023,41
Utah Jazz,0.35198780487804876,37.792682926829265,2022-2023,37
Washington Wizards,0.35423170731707315,31.71951219512195,2022-2023,35
