AST,REB,TOV,FTA,STL,Total_Wins
21.975609756097562,39.292682926829265,13.634146341463415,21.073170731707318,6.060975609756097,44
22.439393939393938,41.18181818181818,13.954545454545455,20.984848484848484,8.121212121212121,40
24.475609756097562,40.86585365853659,14.865853658536585,19.74390243902439,8.097560975609756,44
24.890243902439025,39.97560975609756,15.25609756097561,21.73170731707317,8.292682926829269,38
25.74390243902439,40.5609756097561,14.231707317073171,21.158536585365855,9.073170731707316,60
25.609756097560975,42.08536585365854,14.951219512195122,19.975609756097562,9.109756097560975,48
23.634146341463413,44.329268292682926,15.78048780487805,24.865853658536587,8.195121951219512,43
23.73170731707317,41.90243902439025,15.536585365853659,20.170731707317074,7.780487804878049,24
25.829268292682926,46.09756097560975,17.036585365853657,23.390243902439025,8.231707317073171,29
23.955223880597014,43.25373134328358,16.208955223880597,23.37313432835821,7.8059701492537314,20
24.125,45.625,13.23611111111111,24.23611111111111,6.986111111111111,41
24.597560975609756,43.97560975609756,11.853658536585366,22.304878048780488,7.158536585365853,43
24.98780487804878,44.3780487804878,12.926829268292684,22.5609756097561,7.073170731707317,41
26.585365853658537,44.670731707317074,13.536585365853659,23.24390243902439,7.5,36
23.426829268292682,38.792682926829265,14.573170731707316,23.109756097560975,8.24390243902439,56
23.59090909090909,38.78787878787879,14.833333333333334,19.818181818181817,7.545454545454546,39
22.753086419753085,39.34567901234568,14.580246913580247,20.962962962962962,8.234567901234568,41
21.048780487804876,42.5,15.378048780487806,20.804878048780488,7.121951219512195,25
24.5,43.84146341463415,13.817073170731707,20.463414634146343,8.21951219512195,40
24.158536585365855,44.91463414634146,13.74390243902439,23.524390243902438,9.170731707317072,48
25.23170731707317,41.96341463414634,13.268292682926829,23.20731707317073,7.524390243902439,53
22.463414634146343,44.451219512195124,14.0,20.695121951219512,7.365853658536586,55
26.28048780487805,44.548780487804876,12.829268292682928,19.48780487804878,8.609756097560975,49
22.98611111111111,46.06944444444444,13.819444444444445,23.166666666666668,8.26388888888889,48
23.458333333333332,44.25,14.055555555555555,20.77777777777778,7.722222222222222,36
24.829268292682926,46.073170731707314,13.634146341463415,20.890243902439025,7.2073170731707314,51
26.658536585365855,45.329268292682926,13.353658536585366,21.573170731707318,6.353658536585366,57
26.914634146341463,46.329268292682926,11.939024390243903,20.170731707317074,6.7926829268292686,64
20.341463414634145,42.76829268292683,14.707317073170731,23.878048780487806,7.304878048780488,49
20.902439024390244,38.146341463414636,14.524390243902438,24.414634146341463,8.597560975609756,44
20.926829268292682,42.353658536585364,13.817073170731707,22.158536585365855,7.024390243902439,38
22.304878048780488,42.40243902439025,14.78048780487805,20.71951219512195,7.646341463414634,21
21.414634146341463,43.90243902439025,16.536585365853657,24.634146341463413,7.2317073170731705,20
23.670731707317074,44.4390243902439,15.182926829268293,22.5609756097561,6.2439024390243905,28
23.829268292682926,46.573170731707314,15.073170731707316,25.463414634146343,6.573170731707317,42
24.458333333333332,47.90277777777778,15.26388888888889,24.055555555555557,6.444444444444445,35
26.791666666666668,44.43055555555556,13.541666666666666,22.541666666666668,6.722222222222222,48
25.25609756097561,44.390243902439025,14.060975609756097,21.71951219512195,7.097560975609756,44
25.524390243902438,40.51219512195122,13.74390243902439,22.085365853658537,7.134146341463414,45
25.634146341463413,44.0609756097561,13.121951219512194,20.865853658536587,6.780487804878049,32
21.073170731707318,40.146341463414636,14.536585365853659,24.378048780487806,6.390243902439025,34
20.09090909090909,38.95454545454545,14.5,22.151515151515152,6.015151515151516,7
19.353658536585368,40.31707317073171,14.060975609756097,25.121951219512194,7.2073170731707314,21
21.682926829268293,42.68292682926829,12.317073170731707,24.390243902439025,6.085365853658536,43
20.170731707317074,44.0609756097561,11.902439024390244,22.76829268292683,6.085365853658536,33
21.682926829268293,43.9390243902439,12.548780487804878,23.670731707317074,7.2560975609756095,48
23.0609756097561,43.58536585365854,11.487804878048781,23.817073170731707,6.963414634146342,36
21.585365853658537,45.46341463414634,12.695121951219512,27.024390243902438,6.817073170731708,36
23.23170731707317,43.80487804878049,12.207317073170731,23.109756097560975,7.2073170731707314,39
23.83076923076923,42.784615384615385,14.6,21.630769230769232,6.584615384615384,23
26.84722222222222,43.763888888888886,14.847222222222221,20.90277777777778,7.847222222222222,33
28.073170731707318,44.573170731707314,13.25609756097561,21.378048780487806,8.621951219512194,43
25.146341463414632,44.53658536585366,14.195121951219512,23.5609756097561,7.7317073170731705,27
24.79268292682927,40.28048780487805,13.768292682926829,18.4390243902439,6.853658536585366,21
22.28048780487805,44.15853658536585,14.158536585365853,24.48780487804878,7.219512195121951,62
23.136363636363637,46.666666666666664,13.984848484848484,21.12121212121212,6.909090909090909,50
23.0,43.170731707317074,14.28048780487805,21.195121951219512,7.170731707317073,45
22.682926829268293,44.146341463414636,14.914634146341463,23.26829268292683,7.2439024390243905,48
21.71951219512195,45.74390243902439,13.963414634146341,25.20731707317073,6.2682926829268295,50
22.804878048780488,46.292682926829265,13.914634146341463,20.975609756097562,6.036585365853658,42
22.573170731707318,46.292682926829265,13.560975609756097,22.536585365853657,7.841463414634147,41
23.451219512195124,44.65853658536585,13.987804878048781,19.195121951219512,7.634146341463414,27
21.902439024390244,42.890243902439025,14.134146341463415,20.670731707317074,7.353658536585366,22
23.23076923076923,41.86153846153846,15.461538461538462,20.49230769230769,10.03076923076923,22
26.76388888888889,44.958333333333336,15.125,17.47222222222222,6.694444444444445,31
23.878048780487806,42.329268292682926,12.841463414634147,21.536585365853657,7.134146341463414,46
24.463414634146343,42.353658536585364,13.378048780487806,21.804878048780488,7.853658536585366,40
24.975609756097562,43.81707317073171,12.24390243902439,21.109756097560975,7.780487804878049,39
20.975609756097562,40.30487804878049,14.21951219512195,25.304878048780488,6.634146341463414,19
19.818181818181817,42.27272727272727,15.409090909090908,24.924242424242426,7.0606060606060606,21
20.658536585365855,41.01219512195122,14.012195121951219,22.26829268292683,7.890243902439025,24
21.195121951219512,44.1219512195122,14.182926829268293,22.695121951219512,7.060975609756097,33
22.121951219512194,42.96341463414634,14.28048780487805,23.585365853658537,7.353658536585366,53
22.695121951219512,44.51219512195122,13.585365853658537,21.74390243902439,6.719512195121951,57
22.658536585365855,43.74390243902439,13.670731707317072,23.329268292682926,6.573170731707317,51
23.365853658536587,42.13414634146341,13.731707317073171,23.28048780487805,7.097560975609756,50
20.70731707317073,42.65853658536585,13.487804878048781,20.658536585365855,6.512195121951219,19
23.076923076923077,44.246153846153845,16.50769230769231,19.93846153846154,6.876923076923077,19
23.833333333333332,42.75,15.472222222222221,22.416666666666668,7.763888888888889,22
25.170731707317074,44.18292682926829,14.402439024390244,22.073170731707318,7.073170731707317,44
24.9390243902439,41.08536585365854,13.341463414634147,22.48780487804878,7.146341463414634,51
28.036585365853657,43.292682926829265,13.560975609756097,20.378048780487806,7.378048780487805,48
23.829268292682926,41.4390243902439,13.963414634146341,22.5609756097561,6.7926829268292686,57
20.90909090909091,42.75757575757576,14.030303030303031,20.21212121212121,8.56060606060606,36
23.24390243902439,41.91463414634146,13.951219512195122,20.353658536585368,7.902439024390244,41
23.597560975609756,40.90243902439025,13.536585365853659,21.134146341463413,8.585365853658537,49
22.51219512195122,42.26829268292683,12.951219512195122,22.475609756097562,8.085365853658537,50
22.109756097560975,43.073170731707314,12.768292682926829,22.329268292682926,6.829268292682927,42
20.79268292682927,38.573170731707314,11.853658536585366,18.48780487804878,7.487804878048781,33
22.658536585365855,41.25609756097561,12.28048780487805,18.658536585365855,7.048780487804878,24
23.390243902439025,45.31707317073171,14.231707317073171,25.317073170731707,6.5,33
24.653333333333332,46.93333333333333,12.706666666666667,23.826666666666668,6.133333333333334,43
22.875,43.333333333333336,12.069444444444445,21.166666666666668,6.25,42
23.390243902439025,43.02439024390244,12.5,21.20731707317073,6.7317073170731705,52
22.926829268292682,38.792682926829265,12.21951219512195,25.085365853658537,6.2682926829268295,38
25.682926829268293,42.9390243902439,12.524390243902438,22.463414634146343,6.865853658536586,50
22.109756097560975,41.98780487804878,14.109756097560975,29.621951219512194,7.378048780487805,50
23.954545454545453,43.07575757575758,15.378787878787879,26.666666666666668,8.181818181818182,38
24.414634146341463,45.03658536585366,15.28048780487805,26.195121951219512,9.292682926829269,57
22.414634146341463,45.4390243902439,15.914634146341463,26.26829268292683,7.5,36
21.804878048780488,44.69512195121951,14.21951219512195,24.28048780487805,7.817073170731708,30
22.658536585365855,44.6219512195122,14.658536585365853,24.073170731707318,7.426829268292683,33
25.329268292682926,46.3780487804878,14.951219512195122,24.21951219512195,6.926829268292683,40
25.109756097560975,44.51219512195122,14.951219512195122,22.317073170731707,7.646341463414634,46
27.378048780487806,46.390243902439025,13.439024390243903,20.902439024390244,7.7317073170731705,54
26.73972602739726,44.136986301369866,13.767123287671232,20.904109589041095,8.027397260273972,46
26.84722222222222,44.44444444444444,13.5,19.52777777777778,8.083333333333334,47
27.79268292682927,44.109756097560975,14.5,21.036585365853657,7.219512195121951,48
28.878048780487806,43.01219512195122,14.536585365853659,22.365853658536587,7.536585365853658,53
29.451219512195124,44.426829268292686,12.634146341463415,19.853658536585368,7.134146341463414,57
21.097560975609756,38.6219512195122,13.012195121951219,22.609756097560975,7.2560975609756095,30
18.666666666666668,40.25757575757576,15.651515151515152,22.136363636363637,6.96969696969697,25
21.24390243902439,42.1219512195122,15.134146341463415,22.804878048780488,7.0,29
20.902439024390244,45.3780487804878,14.548780487804878,25.74390243902439,8.378048780487806,29
21.597560975609756,44.890243902439025,13.402439024390244,22.414634146341463,7.597560975609756,32
19.4390243902439,46.31707317073171,13.536585365853659,25.548780487804876,6.987804878048781,44
21.121951219512194,45.68292682926829,11.865853658536585,19.341463414634145,7.0,37
22.78048780487805,43.73170731707317,13.439024390243903,19.76829268292683,7.658536585365853,39
22.5,44.97560975609756,13.841463414634147,23.085365853658537,6.939024390243903,41
24.075757575757574,41.71212121212121,15.272727272727273,22.363636363636363,7.424242424242424,20
24.208333333333332,42.708333333333336,14.930555555555555,23.375,7.375,20
23.463414634146343,42.98780487804878,14.182926829268293,22.024390243902438,7.682926829268292,23
22.975609756097562,42.4390243902439,15.085365853658537,25.682926829268293,7.0,17
25.463414634146343,43.329268292682926,15.21951219512195,21.70731707317073,6.475609756097561,14
22.524390243902438,40.548780487804876,14.609756097560975,20.670731707317074,8.987804878048781,36
22.272727272727273,39.196969696969695,13.863636363636363,18.71212121212121,8.0,23
22.5,44.951219512195124,15.073170731707316,21.26829268292683,6.914634146341464,47
23.317073170731707,45.30487804878049,15.207317073170731,21.109756097560975,7.829268292682927,51
27.414634146341463,44.71951219512195,14.451219512195122,20.841463414634145,9.292682926829269,67
28.9390243902439,46.19512195121951,15.182926829268293,21.829268292682926,8.402439024390244,73
30.378048780487806,44.426829268292686,14.768292682926829,22.5609756097561,9.573170731707316,67
29.29268292682927,43.51219512195122,15.426829268292684,20.341463414634145,8.0,58
29.426829268292682,46.18292682926829,14.25609756097561,20.390243902439025,7.621951219512195,57
25.584615384615386,42.84615384615385,14.907692307692308,23.246153846153845,8.215384615384615,15
27.65277777777778,43.02777777777778,15.0,21.11111111111111,8.152777777777779,39
27.109756097560975,45.48780487804878,14.890243902439025,20.304878048780488,8.768292682926829,53
29.829268292682926,44.59756097560975,16.29268292682927,20.182926829268293,7.170731707317073,44
29.29268292682927,46.707317073170735,14.317073170731707,20.048780487804876,6.975609756097561,46
23.841463414634145,42.81707317073171,13.536585365853659,25.402439024390244,7.085365853658536,43
21.272727272727273,42.166666666666664,14.469696969696969,19.71212121212121,7.515151515151516,34
23.195121951219512,43.426829268292686,16.4390243902439,25.451219512195124,8.28048780487805,45
21.402439024390244,45.329268292682926,16.134146341463413,31.085365853658537,7.573170731707317,54
22.195121951219512,43.68292682926829,16.658536585365855,26.01219512195122,9.475609756097562,56
22.20731707317073,43.0609756097561,15.939024390243903,29.353658536585368,10.012195121951219,41
25.24390243902439,44.36585365853659,15.121951219512194,26.548780487804876,8.170731707317072,55
