TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.35164634146341467,28.365853658536587,2015-2016,48
Boston Celtics,0.3353048780487805,26.121951219512194,2015-2016,48
Brooklyn Nets,0.3484390243902439,18.390243902439025,2015-2016,21
Charlotte Hornets,0.36154878048780487,29.390243902439025,2015-2016,48
Chicago Bulls,0.3688780487804878,21.378048780487806,2015-2016,42
Cleveland Cavaliers,0.3624512195121951,29.609756097560975,2015-2016,57
Dallas Mavericks,0.3430121951219512,28.5609756097561,2015-2016,42
Denver Nuggets,0.33682926829268295,23.695121951219512,2015-2016,33
Detroit Pistons,0.34379268292682924,26.195121951219512,2015-2016,44
Golden State Warriors,0.41423170731707315,31.609756097560975,2015-2016,73
Houston Rockets,0.34806097560975613,30.890243902439025,2015-2016,41
Indiana Pacers,0.3488292682926829,23.036585365853657,2015-2016,45
LA Clippers,0.36517073170731706,26.70731707317073,2015-2016,53
Los Angeles Lakers,0.3178658536585366,24.585365853658537,2015-2016,17
Memphis Grizzlies,0.3276829268292683,18.548780487804876,2015-2016,42
Miami Heat,0.333109756097561,18.048780487804876,2015-2016,48
Milwaukee Bucks,0.34486585365853656,15.573170731707316,2015-2016,33
Minnesota Timberwolves,0.33551219512195124,16.426829268292682,2015-2016,29
New Orleans Pelicans,0.3576341463414634,23.79268292682927,2015-2016,30
New York Knicks,0.34296341463414637,21.48780487804878,2015-2016,32
Oklahoma City Thunder,0.35,23.71951219512195,2015-2016,55
Orlando Magic,0.3497560975609756,22.170731707317074,2015-2016,35
Philadelphia 76ers,0.3374390243902439,27.5,2015-2016,10
Phoenix Suns,0.34436585365853656,25.829268292682926,2015-2016,23
Portland Trail Blazers,0.36885365853658536,28.48780487804878,2015-2016,44
Sacramento Kings,0.36029268292682926,22.426829268292682,2015-2016,33
San Antonio Spurs,0.3796951219512195,18.51219512195122,2015-2016,67
Toronto Raptors,0.3662560975609756,23.353658536585368,2015-2016,56
Utah Jazz,0.3560731707317073,23.853658536585368,2015-2016,40
Washington Wizards,0.35821951219512194,24.182926829268293,2015-2016,41
