season_year,personName,personId,plusMinusPoints,minutes,points,assists,fieldGoalsPercentage
2019-20,Aaron Gordon,203932,-13,31.0,8.0,9.0,0.375
2019-20,Aaron Gordon,203932,-12,32.0,20.0,3.0,0.533
2019-20,Aaron Gordon,203932,-7,20.0,9.0,5.0,0.333
2019-20,Aaron Gordon,203932,8,35.0,11.0,9.0,0.5
2019-20,Aaron Gordon,203932,18,37.0,15.0,4.0,0.4
2019-20,Aaron Gordon,203932,21,35.0,19.0,4.0,0.412
2019-20,Aaron Gordon,203932,23,24.0,22.0,3.0,0.667
2019-20,Aaron Gordon,203932,24,26.0,10.0,2.0,0.4
2019-20,Aaron Holiday,1628988,-28,25.0,5.0,1.0,0.333
2019-20,Aaron Holiday,1628988,-17,29.0,8.0,1.0,0.375
2019-20,Aaron Holiday,1628988,-15,25.0,2.0,2.0,0.091
2019-20,Aaron Holiday,1628988,-8,37.0,9.0,4.0,0.5
2019-20,Aaron Holiday,1628988,1,33.0,4.0,4.0,0.222
2019-20,Aaron Holiday,1628988,2,33.0,9.0,4.0,0.333
2019-20,Aaron Holiday,1628988,7,34.0,12.0,4.0,0.4
2019-20,Aaron Holiday,1628988,10,32.0,7.0,2.0,0.375
2019-20,Aaron Holiday,1628988,17,35.0,16.0,6.0,0.5415
2019-20,Aaron Holiday,1628988,21,35.0,6.0,3.0,0.333
2019-20,Aaron Holiday,1628988,22,34.0,7.0,7.0,1.0
2019-20,Abdel Nader,1627846,-7,25.0,15.0,0.0,0.667
2019-20,Abdel Nader,1627846,5,20.0,9.0,1.0,0.333
2019-20,Abdel Nader,1627846,8,20.0,6.0,1.0,0.5
2019-20,Admiral Schofield,1629678,-10,24.0,3.0,0.0,0.25
2019-20,Al Horford,201143,-26,22.0,10.0,2.0,0.444
2019-20,Al Horford,201143,-14,33.0,8.0,3.0,0.25
2019-20,Al Horford,201143,-7,22.0,15.0,5.0,0.667
2019-20,Al Horford,201143,0,21.0,10.0,4.0,0.571
2019-20,Al Horford,201143,1,35.0,22.0,7.0,0.563
2019-20,Al Horford,201143,4,29.5,20.5,4.0,0.649
2019-20,Al Horford,201143,5,29.0,12.0,6.0,0.364
2019-20,Al Horford,201143,17,31.0,9.0,3.0,0.571
2019-20,Al Horford,201143,18,29.0,2.0,5.0,0.333
2019-20,Al Horford,201143,41,36.0,18.0,6.0,0.5
2019-20,Alec Burks,202692,-9,25.0,15.0,3.0,0.385
2019-20,Alec Burks,202692,-7,22.0,12.0,1.0,0.286
2019-20,Alec Burks,202692,-2,27.0,23.0,4.0,0.529
2019-20,Alec Burks,202692,1,23.0,20.0,2.0,0.571
2019-20,Alec Burks,202692,12,27.0,22.0,2.0,0.533
2019-20,Alec Burks,202692,17,20.0,7.0,3.0,0.2
2019-20,Alec Burks,202692,37,22.0,16.0,5.0,0.545
2019-20,Alex Caruso,1627936,-12,27.0,5.0,5.0,0.25
2019-20,Alex Caruso,1627936,-7,21.0,7.0,3.0,0.333
2019-20,Alex Caruso,1627936,2,24.0,11.0,3.0,0.5
2019-20,Alex Caruso,1627936,8,22.0,3.0,5.0,0.333
2019-20,Alex Caruso,1627936,9,27.0,7.0,2.0,0.286
2019-20,Alex Len,203458,9,27.0,8.0,0.0,0.5
2019-20,Alfonzo McKinnie,1628035,-14,22.0,6.0,0.0,0.286
2019-20,Alfonzo McKinnie,1628035,-6,20.0,8.0,0.0,0.667
2019-20,Alize Johnson,1628993,10,38.0,11.0,4.0,0.375
2019-20,Amir Coffey,1629599,11,49.0,21.0,4.0,0.412
2019-20,Andre Drummond,203083,-4,34.0,21.0,2.0,0.571
2019-20,Andre Drummond,203083,18,33.0,28.0,1.0,0.688
2019-20,Andre Iguodala,2738,-14,31.0,12.0,3.0,0.625
2019-20,Andre Iguodala,2738,3,27.0,8.0,3.5,0.479
2019-20,Andre Iguodala,2738,18,27.0,12.0,8.0,0.5
2019-20,Andre Roberson,203460,6,28.0,3.0,2.0,0.111
2019-20,Andrew Wiggins,203952,-31,35.0,27.0,2.0,0.474
2019-20,Andrew Wiggins,203952,-18,32.0,21.0,3.0,0.5
2019-20,Andrew Wiggins,203952,-11,37.0,21.0,2.0,0.45
2019-20,Andrew Wiggins,203952,8,35.0,16.0,7.0,0.4315
2019-20,Anfernee Simons,1629014,12,22.0,9.0,5.0,0.429
2019-20,Anthony Davis,203076,-21,35.0,8.0,4.0,0.214
2019-20,Anthony Davis,203076,-17,35.0,14.0,3.0,0.286
2019-20,Anthony Davis,203076,-15,29.0,9.0,5.0,0.273
2019-20,Anthony Davis,203076,-9,29.0,17.0,3.0,0.625
2019-20,Anthony Davis,203076,-5,36.0,26.0,2.0,0.474
2019-20,Anthony Davis,203076,-3,35.0,34.0,4.0,0.421
2019-20,Anthony Davis,203076,7,38.0,42.0,4.0,0.464
2019-20,Anthony Davis,203076,8,29.0,30.0,0.0,0.417
2019-20,Anthony Davis,203076,12,34.0,30.0,2.0,0.579
2019-20,Anthony Davis,203076,13,38.0,27.0,5.0,0.6
2019-20,Anthony Davis,203076,30,38.0,37.0,2.0,0.684
2019-20,Anthony Tolliver,201229,-7,29.0,5.0,2.0,0.167
