TEAM_NAME,FG3_PCT,FG3A,SEASON_YEAR,Total_Wins
Atlanta Hawks,0.36346341463414633,31.024390243902438,2017-2018,24
Boston Celtics,0.38128048780487805,30.390243902439025,2017-2018,55
Brooklyn Nets,0.355890243902439,35.65853658536585,2017-2018,28
Charlotte Hornets,0.3628780487804878,27.23170731707317,2017-2018,36
Chicago Bulls,0.3535121951219512,31.085365853658537,2017-2018,27
Cleveland Cavaliers,0.3723658536585366,32.146341463414636,2017-2018,50
Dallas Mavericks,0.360890243902439,32.78048780487805,2017-2018,24
Denver Nuggets,0.3672073170731707,30.926829268292682,2017-2018,46
Detroit Pistons,0.37228048780487805,28.9390243902439,2017-2018,39
Golden State Warriors,0.3888048780487805,28.890243902439025,2017-2018,58
Houston Rockets,0.3638292682926829,42.31707317073171,2017-2018,65
Indiana Pacers,0.3657682926829268,24.51219512195122,2017-2018,48
LA Clippers,0.3511585365853659,26.78048780487805,2017-2018,42
Los Angeles Lakers,0.3399756097560976,29.073170731707318,2017-2018,35
Memphis Grizzlies,0.35098780487804876,26.24390243902439,2017-2018,22
Miami Heat,0.35797560975609755,30.5609756097561,2017-2018,44
Milwaukee Bucks,0.3562682926829268,24.682926829268293,2017-2018,44
Minnesota Timberwolves,0.358,22.5,2017-2018,47
New Orleans Pelicans,0.3594390243902439,28.195121951219512,2017-2018,48
New York Knicks,0.3525853658536585,23.341463414634145,2017-2018,29
Oklahoma City Thunder,0.35214634146341467,30.378048780487806,2017-2018,48
Orlando Magic,0.3480121951219512,29.329268292682926,2017-2018,25
Philadelphia 76ers,0.366890243902439,29.817073170731707,2017-2018,52
Phoenix Suns,0.3353780487804878,27.878048780487806,2017-2018,21
Portland Trail Blazers,0.36734146341463414,28.146341463414632,2017-2018,49
Sacramento Kings,0.37691463414634147,23.98780487804878,2017-2018,27
San Antonio Spurs,0.35225609756097565,24.109756097560975,2017-2018,47
Toronto Raptors,0.35723170731707315,32.98780487804878,2017-2018,59
Utah Jazz,0.36653658536585365,29.573170731707318,2017-2018,48
Washington Wizards,0.37296341463414634,26.5,2017-2018,43
