SEASON_YEAR,GAME_DATE,GAME_ID,TEAM_ID,TEAM_NAME,WL,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,TOV,STL,PLUS_MINUS
2014-15,2014-11-05T00:00:00,21400061,1610612765,Detroit Pistons,W,23,0.478,33,0.697,55,17,8.0,5,3.0
2014-15,2014-11-07T00:00:00,21400076,1610612765,Detroit Pistons,W,23,0.478,24,0.542,40,18,19.0,7,3.0
2020-21,2021-03-16T00:00:00,22000614,1610612740,New Orleans Pelicans,L,33,0.485,20,0.8,41,38,16.0,8,-1.0
2020-21,2021-02-10T00:00:00,22000389,1610612749,Milwaukee Bucks,L,37,0.432,30,0.733,39,23,10.0,6,-1.0
2020-21,2021-02-28T00:00:00,22000528,1610612758,Sacramento Kings,L,36,0.444,17,0.588,33,32,10.0,6,-1.0
2020-21,2021-04-26T00:00:00,22000923,1610612762,Utah Jazz,L,57,0.281,19,0.737,49,24,11.0,9,-1.0
2014-15,2015-03-01T00:00:00,21400883,1610612745,Houston Rockets,W,30,0.367,33,0.788,36,21,23.0,11,2.0
2014-15,2015-02-11T00:00:00,21400791,1610612761,Toronto Raptors,W,26,0.423,26,0.846,37,17,13.0,9,2.0
2014-15,2015-03-20T00:00:00,21401022,1610612751,Brooklyn Nets,W,25,0.44,34,0.765,53,31,15.0,9,2.0
2020-21,2021-03-04T00:00:00,22000554,1610612746,LA Clippers,L,35,0.457,27,0.926,45,24,19.0,4,-2.0
2020-21,2021-01-03T00:00:00,22000085,1610612765,Detroit Pistons,L,36,0.444,25,0.88,33,29,10.0,8,-2.0
2020-21,2021-04-07T00:00:00,22000778,1610612752,New York Knicks,L,33,0.485,16,0.813,39,22,14.0,7,-2.0
2020-21,2021-03-25T00:00:00,22000678,1610612748,Miami Heat,L,34,0.471,13,0.923,39,34,11.0,3,-3.0
2014-15,2015-04-10T00:00:00,21401184,1610612742,Dallas Mavericks,W,29,0.379,24,0.792,49,39,17.0,8,1.0
2014-15,2015-01-10T00:00:00,21400552,1610612755,Philadelphia 76ers,W,24,0.458,25,0.72,44,21,17.0,4,1.0
2014-15,2014-11-23T00:00:00,21400195,1610612748,Miami Heat,W,23,0.478,19,0.895,36,19,17.0,4,1.0
2014-15,2014-12-29T00:00:00,21400462,1610612753,Orlando Magic,W,25,0.44,13,0.692,34,21,14.0,9,1.0
2014-15,2015-04-10T00:00:00,21401185,1610612762,Utah Jazz,L,23,0.478,22,0.682,39,16,17.0,4,-1.0
2014-15,2015-04-04T00:00:00,21401137,1610612755,Philadelphia 76ers,L,26,0.423,33,0.727,40,13,15.0,4,-1.0
2020-21,2021-02-16T00:00:00,22000433,1610612756,Phoenix Suns,L,37,0.432,12,1.0,34,28,6.0,7,-4.0
2020-21,2021-02-21T00:00:00,22000469,1610612750,Minnesota Timberwolves,L,35,0.457,21,0.81,43,24,16.0,6,-4.0
2014-15,2015-03-04T00:00:00,21400901,1610612745,Houston Rockets,L,28,0.393,5,1.0,40,24,13.0,7,-2.0
2014-15,2015-04-01T00:00:00,21401116,1610612752,New York Knicks,L,23,0.478,15,0.867,40,20,16.0,6,-2.0
2014-15,2015-01-02T00:00:00,21400485,1610612753,Orlando Magic,L,22,0.5,20,0.65,37,22,11.0,13,-2.0
2014-15,2015-03-02T00:00:00,21400886,1610612744,Golden State Warriors,L,30,0.367,18,0.722,50,26,15.0,11,-2.0
2020-21,2021-01-06T00:00:00,22000109,1610612764,Washington Wizards,L,37,0.432,35,0.743,35,27,13.0,9,-5.0
2020-21,2021-03-14T00:00:00,22000596,1610612753,Orlando Magic,L,40,0.4,21,0.714,45,25,23.0,4,-5.0
2014-15,2014-12-22T00:00:00,21400413,1610612742,Dallas Mavericks,L,28,0.393,20,0.65,47,23,15.0,12,-3.0
2014-15,2014-12-23T00:00:00,21400420,1610612746,Los Angeles Clippers,L,29,0.379,28,0.679,51,26,10.0,10,-3.0
2014-15,2015-01-05T00:00:00,21400509,1610612739,Cleveland Cavaliers,L,30,0.367,22,0.682,43,23,13.0,8,-3.0
2020-21,2021-02-07T00:00:00,22000364,1610612752,New York Knicks,L,42,0.381,15,0.733,44,23,13.0,8,-6.0
2020-21,2021-02-06T00:00:00,22000361,1610612765,Detroit Pistons,L,42,0.381,28,0.821,35,31,23.0,13,-6.0
2020-21,2021-03-13T00:00:00,22000589,1610612764,Washington Wizards,L,41,0.39,22,0.773,41,25,15.0,9,-6.0
2020-21,2021-02-12T00:00:00,22000395,1610612750,Minnesota Timberwolves,L,41,0.39,14,0.571,40,28,8.0,10,-6.0
2020-21,2021-05-11T00:00:00,22001039,1610612756,Phoenix Suns,L,37,0.432,20,0.9,36,26,11.0,4,-6.0
2014-15,2015-04-13T00:00:00,21401205,1610612737,Atlanta Hawks,L,32,0.344,23,0.826,37,27,8.0,10,-4.0
2014-15,2015-02-06T00:00:00,21400747,1610612739,Cleveland Cavaliers,L,35,0.314,12,0.667,43,18,15.0,6,-4.0
2014-15,2014-11-18T00:00:00,21400156,1610612752,New York Knicks,L,25,0.44,19,0.737,28,30,12.0,9,-4.0
2014-15,2015-03-08T00:00:00,21400936,1610612761,Toronto Raptors,L,27,0.407,9,1.0,33,24,8.0,12,-4.0
2014-15,2015-04-10T00:00:00,21401179,1610612765,Detroit Pistons,L,23,0.478,23,0.522,45,25,11.0,5,-4.0
2014-15,2014-12-26T00:00:00,21400439,1610612747,Los Angeles Lakers,L,29,0.379,20,0.75,63,20,16.0,8,-4.0
2020-21,2020-12-23T00:00:00,22000010,1610612766,Charlotte Hornets,L,44,0.364,15,0.533,32,29,15.0,10,-7.0
2020-21,2021-04-04T00:00:00,22000760,1610612745,Houston Rockets,L,40,0.4,24,0.708,48,25,17.0,3,-7.0
2020-21,2021-04-29T00:00:00,22000945,1610612749,Milwaukee Bucks,L,39,0.41,25,0.88,38,27,14.0,12,-7.0
2014-15,2014-12-13T00:00:00,21400347,1610612758,Sacramento Kings,L,29,0.379,19,0.684,55,21,17.0,4,-5.0
2014-15,2014-11-03T00:00:00,21400046,1610612738,Boston Celtics,L,31,0.355,16,0.75,49,29,17.0,9,-5.0
2020-21,2021-02-21T00:00:00,22000470,1610612743,Denver Nuggets,L,36,0.444,16,0.813,33,25,13.0,8,-8.0
2014-15,2014-12-02T00:00:00,21400256,1610612752,New York Knicks,L,28,0.393,14,0.857,40,22,14.0,8,-5.0
2014-15,2014-12-13T00:00:00,21400345,1610612755,Philadelphia 76ers,L,28,0.393,34,0.706,45,22,17.0,11,-5.0
2020-21,2021-01-23T00:00:00,22000248,1610612756,Phoenix Suns,L,53,0.302,18,0.778,50,26,10.0,8,-8.0
2014-15,2015-03-11T00:00:00,21400961,1610612745,Houston Rockets,L,31,0.355,23,0.565,40,21,11.0,12,-5.0
2014-15,2015-03-04T00:00:00,21400908,1610612746,Los Angeles Clippers,L,31,0.355,18,0.444,51,25,9.0,6,-5.0
2014-15,2015-04-05T00:00:00,21401148,1610612741,Chicago Bulls,L,27,0.407,21,0.714,45,28,16.0,7,-5.0
2014-15,2014-12-18T00:00:00,21400382,1610612760,Oklahoma City Thunder,L,25,0.44,24,0.667,43,17,16.0,5,-5.0
2014-15,2015-02-11T00:00:00,21400797,1610612762,Utah Jazz,L,29,0.379,21,0.524,52,19,19.0,9,-5.0
2020-21,2021-02-16T00:00:00,22000431,1610612750,Minnesota Timberwolves,L,34,0.471,13,0.769,38,26,15.0,11,-8.0
2014-15,2015-02-25T00:00:00,21400846,1610612746,Los Angeles Clippers,L,32,0.344,19,0.737,49,18,16.0,1,-5.0
2020-21,2020-12-26T00:00:00,22000023,1610612765,Detroit Pistons,L,45,0.356,32,0.719,57,24,24.0,9,-9.0
2020-21,2021-01-20T00:00:00,22000220,1610612761,Toronto Raptors,L,49,0.327,18,0.889,41,27,13.0,8,-9.0
2014-15,2015-01-30T00:00:00,21400697,1610612757,Portland Trail Blazers,L,30,0.367,11,0.909,46,25,17.0,7,-6.0
